"coefficient","value"
"A1",-0.00393196939708786
"A2",-0.000114432129801228
"A3",-0.00049147301504051
"A4",-0.000115459459106111
"A5",0.000370014024018947
"A6",-7.9986756676307e-05
"A7",-4.09964246015833e-06
"A8",0.000154488649557794
"A9",-0.000212210931421562
"A10",7.89673860142226e-05
"A11",-2.25420937187133e-05
"A12",-9.74314820235682e-06
"A13",7.21071343383768e-05
"A14",-5.3751077700465e-05
"A15",7.13461906065774e-05
"B1",0.95631895263366
"B2",0.01350449984243
"B3",0.0405170081548145
"B4",0.00644228808850146
"B5",-0.0175317115868797
"B6",0.00276517945092021
"B7",0.00035896151383575
"B8",-0.00491492513445691
"B9",0.00595451247004197
"B10",-0.0020940847941371
"B11",0.000717008177885182
"B12",0.000115974565939938
"B13",-0.0012420100810241
"B14",0.000819627891316238
"B15",-0.00100739122408986
"C1",1.0455747948292
"C2",0.00561659209741731
"C3",-0.0161384779738262
"C4",-0.00988091059591406
"C5",-0.0046877421725971
"C6",-0.0160995466013766
"C7",0.00703383363473429
"C8",-0.00913994185324848
"C9",0.00229703987159707
"C10",0.00125192296619021
"C11",-0.00369052422325215
"C12",0.00343458204529675
"C13",-0.00338418743501462
"C14",0.00072005686222839
"C15",-0.000125698660747503
"D1",0.00430663965612783
"D2",5.25280926968354e-05
"D3",-0.00020045641967315
"D4",-0.00015658554946168
"D5",-9.60496891501126e-05
"D6",-0.000402621611504065
"D7",0.000202924382689574
"D8",-0.000311837593004804
"D9",8.49647046173749e-05
"D10",4.18831563514658e-05
"D11",-0.000164413739505452
"D12",0.000163928833359316
"D13",-0.000175976922447644
"D14",3.824840688892e-05
"D15",-1.14524874999929e-06
